label	x	y	z
A	2.364336291362326	-0.4488381460537687	0.6454881665192085
A	0.9659818332878828	-0.1158520054692881	0.396333030766464
B	0.6995064705924114	1.290895251027132	0.185384019376423
A	0.0424681191520534	1.4998554610066457	-1.1420644099608024
A	0.011830637701539	0.1415877179059355	-1.8120906254403912
B	0.225822553703802	-0.8405517187692366	-0.6339943358848682
A	0.7393768400286543	-2.2177682624583763	-1.0084161842167023
B	-1.4899168025857878	-1.0791516443976985	0.1355454892332844
A	-1.3796931966990311	-1.902953909506316	1.341685374377454
A	-2.445993481509025	-1.4398371813139113	-0.924699961414389
B	-1.8149784097102608	0.7513947979694862	0.6194486611697254
A	-2.78899848012258	1.0158076198931865	1.2520156114750844
A	-0.7793565492338431	1.693219551744088	0.1466800339583772
B	2.451610321498171	-1.5007761920214786	0.9124781829805816
B	2.710517100059288	0.1285120978667819	1.5042709277372244
B	3.0358578419514	-0.2417369959743069	-0.2022895057665115
B	1.3930511745224012	1.9831317790494316	0.644570420300723
B	0.1995755109605353	2.3903186948090327	-1.738393524191237
B	0.8531631907495796	0.0667435620021487	-2.510216905404307
B	-0.9018291888967228	-0.0779080214397028	-2.364367829210351
B	0.0537966441794897	-2.6796835309656135	-1.7208411108578392
B	0.8071186991626855	-2.8683383955258837	-0.1358350051967644
B	1.7227493457088725	-2.1491580567187616	-1.479254435503016
B	-1.006504099828904	2.7207843495398523	0.4110083546374142
C	0.030645178012592922	3.118596086952326	0.6459643333790973
C	-1.0143445816994188	-2.160586672799176	-1.4822237838557262
C	-3.452697521915614	-1.262638079139577	0.4729244691546827
C	-3.5379574403393677	1.5953102020172296	1.1843823305711134
C	2.9202255236581895	-2.9820671881823646	2.171913285317028
C	3.4440940766142907	0.469914198228507	3.333289633310523
C	5.016480949604138	-0.08278337332198388	0.0254512487718746
C	2.6639070184769356	3.4031264253563105	1.2516458920061861
C	0.8854902128398632	4.185121477113981	-2.2935547569661954
C	2.1078565542612275	0.6599152426207654	-3.950318263251008
C	-0.8361666981275429	0.6557138832833016	-4.223799822647212
C	1.2089529436680342	-4.092626836051606	-2.5388907061542394
C	2.084288811747501	-4.328984069452271	0.34929458445967015
C	3.23090174264584	-3.4132358455165663	-1.8364430292197418
C	-0.5659717796247391	4.451206734338852	1.3118799576098232
